"","genes","log2FoldChange","pvalue","sig"
"1","EEF1A1",-0.138440125013913,5.35409893739596,"Down regulated"
"2","GAPDH",0.111681603366716,2.99492847424346,"Up regulated"
"3","SLC35E2",-0.0213386914352727,1.26123073244195,"No significant"
"4","LOC642820",0.00082503354993424,0.0407742463781418,"No significant"
"5","RPS28",-0.151221498067839,0.921297805893289,"No significant"
"6","IPO13",0.0520845145607449,2.21476490150383,"No significant"
"7","LOC653113",0.00810763049031493,0.422664823838038,"No significant"
"8","AFAP1",0.00597810891452433,0.318540574423336,"No significant"
"9","GGTLC1",-0.002735160768637,0.158637900464834,"No significant"
"10","CDT1",0.0024853156183049,0.104004321758383,"No significant"
"11","TRPV1",0.00588453615848117,0.326063352783509,"No significant"
"12","LOC652879",-0.00558386418407775,0.369622135771787,"No significant"
"13","LOC644150",-0.000302728158882992,0.0142880779663468,"No significant"
"14","LPP",0.231383596473011,10.9117537877335,"Up regulated"
"15","FLJ36848",-0.00749644245497638,0.19885575214728,"No significant"
"16","CCNE2",0.000519244747744452,0.0251954105981166,"No significant"
"17","HNRNPAB",-0.043791547791777,0.70355994644313,"No significant"
"18","LOH12CR1",-0.001554768001923,0.0693075404845861,"No significant"
"19","SNIP1",0.0125416727930965,0.303891919285558,"No significant"
"20","LOC645349",0.0278384070132631,1.12487398885993,"No significant"
"21","COL17A1",0.00624401779257244,0.197606347510854,"No significant"
"22","BCL6B",-0.00680954680682699,0.323649279805427,"No significant"
"23","GRHL1",-0.00812202059382461,0.496576979499212,"No significant"
"24","LOC339760",0.0170496125982043,1.59511864271118,"No significant"
"25","LOC644613",0.0213767252088868,1.40527207429068,"No significant"
"26","LOC143666",0.0172757030589494,0.859868102944734,"No significant"
"27","ATP13A4",0.00270772267984043,0.129243295305657,"No significant"
"28","MLLT4",-0.00627882318613793,0.427322623797665,"No significant"
"29","HMG20B",0.0553837065407805,1.72668664475187,"No significant"
"30","CD69",-0.0067176901709578,0.272450862936074,"No significant"
"31","LOC653493",-0.00428328162122149,0.240648921472142,"No significant"
"32","LAT1-3TM",0.0513482552752613,1.62555670213198,"No significant"
"33","LOC646360",0.00350140171524682,0.194007080842411,"No significant"
"34","KCNG4",-0.00840158305457184,0.669477160366768,"No significant"
"35","MLYCD",0.00727830616206937,0.233362633096797,"No significant"
"36","LOC401010",-0.0157149898916487,0.743028843000073,"No significant"
"37","ITGA11",-0.00463194673011014,0.221860534110191,"No significant"
"38","TICAM2",-0.000820239555432423,0.011499861807532,"No significant"
"39","SERTAD2",-0.0890472058592824,2.14060732073605,"No significant"
"40","LOC729444",-0.00144770658136473,0.0765199584657008,"No significant"
"41","SPP1",-0.00255554314164108,0.0622312430282147,"No significant"
"42","HBE1",0.039659798988529,0.151127675418048,"No significant"
"43","PCBD2",-0.0252738344291172,1.34940043085721,"No significant"
"44","USP21",-0.00253572416107417,0.115036210557927,"No significant"
"45","RHD",-0.0168560018366026,0.267522641689373,"No significant"
"46","AUP1",0.0377500465388536,1.17892539110062,"No significant"
"47","MFN2",0.165064046346348,3.37702526138296,"Up regulated"
"48","LOC645448",0.00573079094675588,0.372762808283145,"No significant"
"49","LOC642161",0.020896729643761,0.182756453740125,"No significant"
"50","LILRA6",0.00397728133740216,0.215303892286915,"No significant"
"51","BRD9",0.0625920421100741,2.03855424768256,"No significant"
"52","LOC648934",0.00600022367976916,0.292756371834411,"No significant"
"53","DERL3",0.0140787010551087,0.809789940977727,"No significant"
"54","SYTL2",-0.0034398688767876,0.199741534225255,"No significant"
"55","SELM",-0.00724817951492795,0.117108218732876,"No significant"
"56","CTRB2",0.0122985659497319,0.67532395731909,"No significant"
"57","DCK",-0.00694316873634016,0.0858363726034026,"No significant"
"58","FOXI1",0.00957911420285296,0.435431470679081,"No significant"
"59","ZFPM1",0.079869791990717,1.80687528788862,"No significant"
"60","LOC651463",-0.00150986391260144,0.0780392193419845,"No significant"
"61","LOC652663",0.00936666014556664,0.636216124411968,"No significant"
"62","FBXL10",0.00844192957102319,0.208841993136558,"No significant"
"63","ALOX5",-0.00451467118647475,0.276090943145206,"No significant"
"64","MMP17",0.00513975650444554,0.280037387231147,"No significant"
"65","COX11P",-0.00731550597281228,0.45348712424418,"No significant"
"66","LOC644234",-0.000282575613730351,0.0149504290546169,"No significant"
"67","CYP26A1",-0.0161905832536551,0.465672843019764,"No significant"
"68","WNT2B",-0.0015060066240018,0.0485093079786446,"No significant"
"69","LOC644824",-0.00018644898514264,0.00982884738324797,"No significant"
"70","HIST1H2BD",-0.0308073007606851,0.255659211175023,"No significant"
"71","GADD45G",-0.0116200251565033,0.766831354567096,"No significant"
"72","ERGIC1",0.00659417363806103,0.143989227690412,"No significant"
"73","ABCD4",-0.00434478845397823,0.151907050446022,"No significant"
"74","C4orf8",0.0690499417452912,2.97439332737771,"No significant"
"75","NCOA6IP",-0.00637952644987649,0.240416217269237,"No significant"
"76","LOC642732",-0.0226651925555696,1.45488898935568,"No significant"
"77","LOC649500",0.00945373416459283,0.50687483892245,"No significant"
"78","SKIV2L2",-0.138326001880769,5.38410823499983,"Down regulated"
"79","LOC644519",-0.00763977723030518,0.492267050455483,"No significant"
"80","C6orf128",0.00352499517201377,0.181136311173649,"No significant"
"81","GEFT",-0.0112293308935625,0.561913804752498,"No significant"
"82","NUMBL",0.00382803774011453,0.0736454088427356,"No significant"
